name,name_hindi,name_local,slug,latitude,longitude,address,city,district,state,pincode,managing_authority,trust_name,trust_registration_no,setting_environment,google_maps_link,nearest_bus_stand,local_landmark,nearest_railway,nearest_airport,primary_deity,secondary_deities,sect,temple_type,is_jyotirlinga,is_shaktipeeth,is_divya_desam,is_ashtavinayak,is_char_dham,is_heritage_site,is_asi_protected,is_pancha_bhuta,is_51_shakti_peeths,is_unesco_heritage,is_state_heritage,history,history_hindi,sthala_purana,significance,architecture_style,estimated_year_built,founded_by,last_renovation_year,building_condition,puranic_stories,opening_time,closing_time,afternoon_closure_start,afternoon_closure_end,weekly_special_day,online_puja_available,live_darshan_available,live_stream_url,prasad_type,puja_rudrabhishek,puja_satyanarayan,puja_havan_homa,puja_laghu_rudra,puja_mahamrityunjaya,puja_griha_pravesh,puja_naamkaran,puja_vivah,puja_annaprashan,puja_mundan,puja_pitru_tarpan,puja_sahasranamarchana,hero_image_url,video_aarti_url,video_intro_url,video_360_url,bank_account_name,bank_name_branch,bank_account_number,bank_ifsc,upi_id,certificate_80g_no,accept_online_donations,donation_temple_renovation,donation_annadanam,donation_priest_salary,donation_vedic_education,donation_festival,donation_medical_camps,donation_general,facility_electricity,facility_water_supply,facility_clean_toilets,facility_wheelchair,facility_dharamshala,facility_prasad_dining,facility_parking,facility_security,facility_cctv,facility_pa_system,facility_internet_wifi,facility_library_pathshala,facility_gaushaala,facility_medical_support,prog_free_food,prog_medical_camps,prog_scholarship_edu,prog_womens_selfhelp,prog_bhajan_kirtan,prog_disaster_relief,phone,whatsapp_number,official_email,website_url,facebook_page,youtube_channel,instagram_handle,best_time_to_call,entry_fee,best_time_to_visit,category_tags,status,source
Omkareshwar Jyotirlinga Temple,ओंकारेश्वर ज्योतिर्लिंग,Omkareshwar Mandir,omkareshwar-jyotirlinga-khandwa,22.2435,76.1508,"Omkareshwar Island, Khandwa",Omkareshwar,Khandwa,Madhya Pradesh,450554,Community / Village Trust,Omkareshwar Mandir Trust,MP-KHD-0012,Island,https://maps.google.com/?q=Omkareshwar+Temple,Omkareshwar Bus Stand (0.5 km),Narmada River Island,Omkareshwar Road Railway Station (12 km),Indore Airport (78 km),Lord Shiva,Parvati|Ganesha,Shaiva,Jyotirlinga,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"One of the 12 sacred Jyotirlingas, Omkareshwar is situated on an island shaped like the Hindu symbol OM on the Narmada river. The temple has two shrines — Omkareshwar and Amareshwar.",ओंकारेश्वर 12 ज्योतिर्लिंगों में से एक है जो नर्मदा नदी पर OM आकार के द्वीप पर स्थित है।,Lord Brahma and Vishnu had a dispute over superiority. Shiva appeared as an infinite pillar of light. The island itself took the shape of the sacred OM.,The island temple sits in the middle of the Narmada river and its natural OM shape makes it supremely sacred. A visit here is said to grant moksha.,Nagara,8th century,Mandhatri King,2010,Excellent — well maintained,King Mandhata performed severe penance on this island to please Lord Shiva. The island itself is shaped like the Hindu sacred syllable OM when viewed from above.,05:00:00,22:00:00,12:30:00,16:00:00,Monday (Shiva),yes,yes,https://www.youtube.com/@omkareshwartemple,"Bhasma, Panchamrit, flowers",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Omkareshwar_temple.jpg/1200px-Omkareshwar_temple.jpg,,,,Omkareshwar Mandir Trust,"SBI, Omkareshwar",,SBIN0007321,omkareshwar@sbi,MP/80G/2019/0012,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,+91-7280-271550,+91-7280-271550,info@omkareshwar.org,https://omkareshwar.org,https://facebook.com/OmkareshwarTemple,https://youtube.com/@omkareshwartemple,@omkareshwar_official,08:00–11:00 AM,0,October to March,Jyotirlinga|Shiva|Narmada|Moksha|Island Temple,published,csv_import
Mamleshwar Temple,मामलेश्वर मंदिर,Amareshwar Mandir,mamleshwar-temple-omkareshwar,22.2442,76.152,"Omkareshwar, Khandwa",Omkareshwar,Khandwa,Madhya Pradesh,450554,Community / Village Trust,Omkareshwar Mandir Trust,MP-KHD-0013,Riverbank / Ghats,https://maps.google.com/?q=Mamleshwar+Temple+Omkareshwar,Omkareshwar Bus Stand (1 km),South bank of Narmada,Omkareshwar Road (12 km),Indore Airport (78 km),Lord Shiva,,Shaiva,Jyotirlinga,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Mamleshwar is the second shrine of the Omkareshwar Jyotirlinga complex located across the river. Together they constitute the single Jyotirlinga of Omkareshwar.,मामलेश्वर ओंकारेश्वर के दूसरे तीर्थ हैं जो नदी के पार स्थित हैं।,The two parts of the single Jyotirlinga — Omkareshwar on the island and Mamleshwar on the south bank together form the complete sacred pilgrimage.,The second part of the Omkareshwar Jyotirlinga. Many devotees are unaware that the complete Jyotirlinga darshan requires visiting both temples.,Nagara,Ancient,Unknown ancient kings,2008,Good — minor maintenance needed,Amareshwar is named after the gods (Amar=immortal) who worshipped Shiva here after the demon Mandhata's defeat.,05:00:00,21:00:00,12:30:00,16:00:00,Monday (Shiva),no,no,,"Bhasma, flowers",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Omkareshwar_temple.jpg/1200px-Omkareshwar_temple.jpg,,,,Omkareshwar Mandir Trust,"SBI, Omkareshwar",,SBIN0007321,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,+91-7280-271551,,,https://omkareshwar.org,,,,08:00–11:00 AM,0,October to March,Jyotirlinga|Shiva|Narmada|Sacred,published,csv_import
Pashupatinath Temple Mandsaur,पशुपतिनाथ मंदिर मंदसौर,Ashta-Mukhi Shivalinga Mandir,pashupatinath-mandsaur,24.0734,75.08,"Pashupatinath Road, Mandsaur",Mandsaur,Mandsaur,Madhya Pradesh,458001,Community / Village Trust,Pashupatinath Seva Trust,MP-MND-0021,Riverbank / Ghats,https://maps.google.com/?q=Pashupatinath+Temple+Mandsaur,Mandsaur Bus Stand (2 km),Banks of Shivna River,Mandsaur Railway Station (2 km),Indore Airport (200 km),Lord Shiva,Parvati,Shaiva,Regional Famous,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,The Pashupatinath temple in Mandsaur houses a rare 8-faced Shivalinga called the Ashta-Mukhi Shivalinga. This is one of the most unique Shivalingas in India.,मंदसौर का पशुपतिनाथ मंदिर अष्टमुखी शिवलिंग के लिए प्रसिद्ध है जो भारत में अत्यंत दुर्लभ है।,The 8-faced Shivalinga is believed to have been carved in the Gupta period. Each face represents a different manifestation of Lord Shiva.,"Houses the extremely rare 8-faced Shivalinga. Each face of the linga represents a different form of Lord Shiva, found nowhere else in India.",Nagara,4th-5th century,Gupta Period,2015,Good — minor maintenance needed,The Ashta-Mukhi Shivalinga was discovered during excavations and is believed to be a self-manifested sacred object from the Gupta era.,06:00:00,21:00:00,12:00:00,16:00:00,Monday (Shiva),no,no,,"Panchamrit, belpatra",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Pashupatinath_Temple%2C_Kathmandu.jpg/1200px-Pashupatinath_Temple%2C_Kathmandu.jpg,,,,Pashupatinath Seva Trust,"Bank of India, Mandsaur",,BKID0006321,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,+91-7422-234567,,,,,,,09:00–12:00,0,October to March,Shiva|Rare|Unique|8-faced Linga|Pilgrimage,published,csv_import
Pitambara Peeth,पीताम्बरा पीठ,Baglamukhi Mandir,pitambara-peeth-datia,25.6654,78.457,"Pitambara Peeth Road, Datia",Datia,Datia,Madhya Pradesh,475661,Private / Family Trust,Pitambara Peeth Trust,MP-DAT-0005,Urban / City,https://maps.google.com/?q=Pitambara+Peeth+Datia,Datia Bus Stand (1 km),Datia Palace,Datia Railway Station (2 km),Gwalior Airport (75 km),Goddess Pitambara,Baglamukhi|Dhumavati,Shakta,Shaktipeeth,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Pitambara Peeth is one of the most powerful Shakti shrines in India. The goddess Baglamukhi is worshipped here and the temple is famous for powerful tantric rituals.,पीताम्बरा पीठ भारत के सबसे शक्तिशाली शक्ति मंदिरों में से एक है।,"Baglamukhi is one of the 10 Mahavidyas. The goddess can paralyze enemies and grant victory. The yellow-clad deity is worshipped with yellow flowers, haldi, and yellow garments.",One of India's most powerful Shakti shrines. Famous for Havan rituals. Highly visited by powerful people before elections and court cases. Rare Dhumavati temple also present.,Tantric Architecture,Ancient,Ancient tantric tradition,2018,Excellent — well maintained,"Dhumavati — the widowed form of the goddess — has her shrine here, making Pitambara Peeth one of very few places where she is enshrined.",05:00:00,22:00:00,13:00:00,16:00:00,Friday (Lakshmi / Devi),yes,yes,https://youtube.com/@pitambarapeeth,"Yellow sweets, haldi, marigold garland",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Datia_palace.jpg/1200px-Datia_palace.jpg,https://youtube.com/watch?v=pitambara_aarti,,,Pitambara Peeth Trust,"SBI, Datia",,SBIN0009876,pitambarapeeth@sbi,MP/80G/2018/0045,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,+91-7522-234001,+91-7522-234001,info@pitambarapeeth.org,https://pitambarapeeth.org,https://facebook.com/PitambaraPeeth,https://youtube.com/@pitambarapeeth,@pitambarapeeth,07:00–10:00 AM,0,Year round,Shakti|Powerful|Tantra|Victory|Baglamukhi,published,csv_import
Shri Ram Raja Temple,श्री राम राजा मंदिर,Ram Raja Sarkar Mandir,ram-raja-temple-orchha,25.3517,78.6421,"Ram Raja Mandir Road, Orchha",Orchha,Tikamgarh,Madhya Pradesh,472246,State Govt Endowment Board,MP Tourism & Orchha Temple Trust,MP-TKM-0007,Urban / City,https://maps.google.com/?q=Ram+Raja+Temple+Orchha,Orchha Bus Stand (0.2 km),Orchha Fort Complex,Jhansi Railway Station (16 km),Gwalior Airport (135 km),Lord Ram,Sita|Lakshmana|Hanuman,Vaishnav,Unique Royal Temple,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,The only temple in India where Lord Ram is worshipped as a King and receives a royal gun salute daily. Ram was brought here as an idol by Queen Ganeshi Bai.,यह भारत का एकमात्र मंदिर है जहां भगवान राम को राजा के रूप में पूजा जाता है।,Queen Ganeshi Bai of Orchha brought the Ram idol from Ayodhya but it refused to move from her palace. The palace was converted into a temple.,The ONLY temple in India where Lord Ram is worshipped as a King and receives police salute. The idol is treated as the reigning king of Orchha.,Bundela Rajput,17th century,Queen Ganeshi Bai,2020,Excellent — well maintained,Ram Raja is considered the actual King of Orchha. The police guard changes at the temple gate daily just like a royal palace.,08:00:00,22:00:00,13:00:00,16:00:00,None / All days equal,yes,yes,https://youtube.com/@ramrajaorchha,"Peda, flowers, tulsi",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Ram_Raja_Temple_Orchha.jpg/1200px-Ram_Raja_Temple_Orchha.jpg,https://youtube.com/watch?v=ramraja_aarti,,,Orchha Ram Raja Temple Trust,"SBI, Orchha",,SBIN0011234,ramrajaorchha@sbi,MP/80G/2017/0089,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,+91-7680-252333,+91-7680-252333,info@ramrajaorchha.org,https://ramrajaorchha.org,https://facebook.com/RamRajaOrchha,https://youtube.com/@ramrajaorchha,@ramraja_orchha,09:00–11:00 AM,0,October to March,Ram|Unique|Royal|King|Police Salute|Orchha,published,csv_import
Chaturbhuj Temple Orchha,चतुर्भुज मंदिर,Chaturbhuj Mandir,chaturbhuj-temple-orchha,25.3522,78.6428,"Orchha Fort Complex, Orchha",Orchha,Tikamgarh,Madhya Pradesh,472246,Archaeological Survey of India (ASI),ASI Orchha,ASI-MP-0034,Urban / City,https://maps.google.com/?q=Chaturbhuj+Temple+Orchha,Orchha Bus Stand (0.3 km),Orchha Fort,Jhansi Railway Station (16 km),Gwalior Airport (135 km),Lord Vishnu,Ram|Lakshmi,Vaishnav,Heritage Temple,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Chaturbhuj temple was originally built to house the Ram idol that now resides in Ram Raja temple. It has a unique combination of temple and fort architecture.,चतुर्भुज मंदिर मूलतः उस राम प्रतिमा के लिए बनाया गया था जो अब राम राजा मंदिर में है।,"When Queen Ganeshi Bai's idol of Ram chose to stay in the palace, this magnificent temple was left without its deity. Later Vishnu was installed here.",Architecturally stunning — the only temple in India that combines temple architecture with fort design. Has a massive 344-step staircase with breathtaking views.,Bundela,1558-1573 AD,Raja Madhukar Shah,2019,Good — minor maintenance needed,The temple's massive platform was designed to accommodate lakhs of devotees and the idol was to be enshrined at a great height as befitting royalty.,07:00:00,18:00:00,,,None / All days equal,no,no,,"Flowers, sweets",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Orchha_Chaturbhuj_Temple.jpg/1200px-Orchha_Chaturbhuj_Temple.jpg,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,+91-7680-252000,,,https://asi.nic.in,,,,10:00–12:00,10,October to March,Vishnu|Heritage|Architecture|Fort|Orchha,published,csv_import
Bijasan Mata Temple,बिजासन माता मंदिर,Bijasan Tekri Mandir,bijasan-mata-indore,22.7244,75.8842,"Bijasan Tekri, Indore",Indore,Indore,Madhya Pradesh,452001,Community / Village Trust,Bijasan Mata Mandir Trust,MP-IND-0023,Hilltop / Mountain,https://maps.google.com/?q=Bijasan+Mata+Temple+Indore,Indore Bus Stand (7 km),"Bijasan Tekri Hill, Indore",Indore Railway Station (8 km),Indore Airport (12 km),Goddess Bijasan,Durga|Kali,Shakta,Regional Famous,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bijasan Mata temple is located on a hill in Indore and is the presiding deity of the city. The temple sees massive footfall during Navratri.,बिजासन माता मंदिर इंदौर शहर की अधिष्ठात्री देवी का मंदिर है।,Goddess Bijasan is the city goddess of Indore and has been worshipped since the Holkar dynasty. She is believed to protect the entire city from harm.,The presiding deity of Indore city. Offers panoramic views. During Navratri the temple is decorated with over 10000 lamps creating a breathtaking sight.,Hilltop Temple,Ancient,Holkar Dynasty,2021,Excellent — well maintained,Bijasan is a form of the divine mother Durga who guards the city from atop the hill. The hill itself is considered sacred.,05:30:00,21:00:00,13:00:00,16:00:00,Tuesday (Hanuman / Devi),no,no,,"Coconut, flowers, sweets",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Indore_Rajwada_Palace.jpg/1200px-Indore_Rajwada_Palace.jpg,,,,Bijasan Mata Trust,"Central Bank, Indore",,CBIN0280651,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,+91-731-2345678,,,,,,,09:00–12:00,0,Navratri|October to March,Goddess|Navratri|Hilltop|City Deity|Indore,published,csv_import
Kanch Mandir Indore,काँच मंदिर इंदौर,Glass Jain Temple,kanch-mandir-indore,22.7183,75.8658,"Seth Hukumchand Marg, Indore",Indore,Indore,Madhya Pradesh,452001,Private / Family Trust,Seth Hukumchand Jain Temple Trust,MP-IND-0041,Urban / City,https://maps.google.com/?q=Kanch+Mandir+Indore,Indore Bus Stand (2 km),Rajwada Palace area,Indore Railway Station (3 km),Indore Airport (10 km),Lord Mahavira,,Jain,Jain Glass Temple,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Kanch Mandir is a stunning Jain temple built entirely of glass mirrors. Every surface — walls, ceiling, pillars, floors — is covered with intricate mirror mosaic work. Built by Seth Hukumchand.",काँच मंदिर पूरी तरह से काँच की पच्चीकारी से बना एक अनूठा जैन मंदिर है।,Seth Hukumchand built this temple as a religious offering. The entire interior is covered with colored Belgian glass mirror work.,One of the most visually spectacular temples in India. Every single surface covered in multicolored glass and mirrors. The effect when light hits is absolutely magical.,Glass Mirror Architecture,Early 20th century,Seth Hukumchand,2016,Good — minor maintenance needed,Jain temples represent the perfection of the universe. The glass and mirror work symbolizes the infinite reflections of the soul's journey toward moksha.,10:00:00,17:00:00,,,None / All days equal,no,no,,Flowers,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Kanch_Mandir_Indore.jpg/1200px-Kanch_Mandir_Indore.jpg,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,+91-731-2512345,,,,,,,10:00–12:00,0,Year round,Jain|Glass|Mirror|Unique|Photography|Indore,published,csv_import
Khajrana Ganesh Temple,खजराना गणेश मंदिर,Khajrana Ganapati,khajrana-ganesh-indore,22.6942,75.9158,"Khajrana, Indore",Indore,Indore,Madhya Pradesh,452016,Community / Village Trust,Khajrana Ganesh Mandir Samiti,MP-IND-0015,Urban / City,https://maps.google.com/?q=Khajrana+Ganesh+Temple+Indore,Khajrana Bus Stop (0.2 km),"Khajrana Square, Indore",Indore Railway Station (6 km),Indore Airport (14 km),Lord Ganesha,Riddhi|Siddhi,Ganapatya,Regional Famous,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Khajrana Ganesh is the most visited temple in Indore with thousands of devotees daily. The Ganesha idol here is said to be swayambhu (self-manifested). Ahilyabai Holkar is believed to have discovered the idol.,खजराना गणेश इंदौर का सबसे अधिक दर्शनीय मंदिर है जहाँ प्रतिदिन हजारों श्रद्धालु आते हैं।,The swayambhu Ganesha was discovered by queen Ahilyabai Holkar during excavation. She built a grand temple around the idol.,Most visited temple in Indore. The self-manifested Ganesha is believed to fulfill all wishes. The ladoo prasad is legendary. On Wednesdays the queue can be hours long.,Maratha,18th century,Ahilyabai Holkar,2022,Excellent — well maintained,Lord Ganesha is the remover of obstacles. The swayambhu idol at Khajrana is especially powerful because it is self-manifested — not made by human hands.,05:00:00,22:30:00,13:00:00,16:00:00,Wednesday (Ganesha),yes,yes,https://youtube.com/@khajranaganesh,"Modak, ladoo, flowers",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Ganesha_Basohli_miniature_circa_1730_Dubost_p73.jpg/800px-Ganesha_Basohli_miniature_circa_1730_Dubost_p73.jpg,https://youtube.com/watch?v=khajrana_aarti,,,Khajrana Ganesh Mandir Samiti,"ICICI, Indore",,ICIC0001234,khajranaganesh@icici,MP/80G/2020/0156,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,+91-731-2780100,+91-731-2780100,info@khajranaganesh.org,https://khajranaganesh.org,https://facebook.com/KhajranaGanesh,https://youtube.com/@khajranaganesh,@khajrana_ganesh,07:00–10:00 AM,0,Wednesday special|Year round,Ganesha|Wishes Fulfilled|Famous|Indore|Swayambhu,published,csv_import
Annapurna Temple Indore,अन्नपूर्णा मंदिर इंदौर,Annapurna Devi Mandir,annapurna-temple-indore,22.7127,75.8683,"Annapurna Road, Indore",Indore,Indore,Madhya Pradesh,452009,Private / Family Trust,Annapurna Mandir Trust,MP-IND-0056,Urban / City,https://maps.google.com/?q=Annapurna+Temple+Indore,Annapurna Bus Stop (0.3 km),"Annapurna Colony, Indore",Indore Railway Station (4 km),Indore Airport (12 km),Goddess Annapurna,Kashi Vishwanath|Durga,Shakta,Regional Famous,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Annapurna temple in Indore is famous for housing replicas of the Kashi Vishwanath Shivalinga. Built so that elderly devotees who cannot travel to Varanasi can get the same darshan in Indore.,इंदौर का अन्नपूर्णा मंदिर काशी विश्वनाथ की प्रतिकृति के साथ बनाया गया है।,Goddess Annapurna is the goddess of food and nourishment. She resides in Kashi. This temple brings Kashi to Indore.,A gift to devotees who cannot travel to Kashi. Houses authentic replicas of Kashi Vishwanath. Famous for free prasad distribution.,South Indian,20th century,Local trust,2019,Good — minor maintenance needed,Annapurna feeds the entire world. Kashi is her city. By building this temple in Indore the founders brought the blessings of Kashi to central India.,05:30:00,21:30:00,13:00:00,16:00:00,None / All days equal,no,no,,"Khichdi, sweets, flowers",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Annapurna_temple.jpg/800px-Annapurna_temple.jpg,,,,Annapurna Mandir Trust,"SBI, Indore",,SBIN0030021,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,+91-731-2450001,,,,,,,09:00–11:00,0,Year round,Annapurna|Kashi|Vishwanath|Famous|Indore|Free Prasad,published,csv_import
